time_namelookup (seconds),time_connect (seconds),time_appconnect (seconds),time_pretransfer (seconds),time_redirect (seconds),time_starttransfer (seconds),time_total (seconds)
0.000018,0.000133,0.000000,0.000163,0.000000,0.010850,0.010873
0.000018,0.000118,0.000000,0.000146,0.000000,0.055714,0.055746
0.000020,0.000123,0.000000,0.000156,0.000000,0.052380,0.052408
0.000023,0.000136,0.000000,0.000166,0.000000,0.056976,0.057005
0.000018,0.000131,0.000000,0.000160,0.000000,0.055082,0.055113
0.000019,0.000128,0.000000,0.000157,0.000000,0.052366,0.052398
0.000019,0.000130,0.000000,0.000160,0.000000,0.051954,0.051994
0.000018,0.000116,0.000000,0.000142,0.000000,0.053526,0.053556
0.000020,0.000115,0.000000,0.000145,0.000000,0.055893,0.055925
0.000020,0.000135,0.000000,0.000165,0.000000,0.050317,0.050350
0.000018,0.000132,0.000000,0.000160,0.000000,0.055883,0.055916
0.000019,0.000126,0.000000,0.000157,0.000000,0.056032,0.056066
0.000019,0.000127,0.000000,0.000156,0.000000,0.054348,0.054382
0.000020,0.000115,0.000000,0.000147,0.000000,0.055634,0.055667
0.000019,0.000140,0.000000,0.000171,0.000000,0.053182,0.053212
0.000021,0.000236,0.000000,0.000490,0.000000,0.053557,0.053588
0.000020,0.000119,0.000000,0.000147,0.000000,0.052649,0.052679
0.000020,0.000129,0.000000,0.000158,0.000000,0.050883,0.050915
0.000018,0.000132,0.000000,0.000160,0.000000,0.054065,0.054096
0.000024,0.000142,0.000000,0.000171,0.000000,0.051472,0.051503
0.000020,0.000120,0.000000,0.000149,0.000000,0.055323,0.055353
0.000020,0.000117,0.000000,0.000149,0.000000,0.052869,0.052900
0.000020,0.000129,0.000000,0.000160,0.000000,0.053109,0.053139
0.000021,0.000135,0.000000,0.000168,0.000000,0.051436,0.051464
0.000021,0.000134,0.000000,0.000163,0.000000,0.053452,0.053481
0.000018,0.000131,0.000000,0.000160,0.000000,0.052637,0.052668
0.000019,0.000128,0.000000,0.000160,0.000000,0.056013,0.056046
0.000020,0.000132,0.000000,0.000166,0.000000,0.053109,0.053140
0.000022,0.000132,0.000000,0.000166,0.000000,0.055939,0.055971
0.000021,0.000139,0.000000,0.000169,0.000000,0.055420,0.055454
0.000022,0.000133,0.000000,0.000162,0.000000,0.054885,0.054914
0.000018,0.000130,0.000000,0.000196,0.000000,0.052992,0.053024
0.000021,0.000120,0.000000,0.000153,0.000000,0.056939,0.056968
0.000019,0.000133,0.000000,0.000161,0.000000,0.055054,0.055083
0.000020,0.000115,0.000000,0.000144,0.000000,0.057130,0.057162
0.000019,0.000122,0.000000,0.000151,0.000000,0.061376,0.061412
0.000025,0.000131,0.000000,0.000160,0.000000,0.015819,0.015852
0.000020,0.000145,0.000000,0.000175,0.000000,0.059218,0.059247
0.000018,0.000119,0.000000,0.000148,0.000000,0.051502,0.051533
0.000023,0.000143,0.000000,0.000173,0.000000,0.053019,0.053052
0.000018,0.000131,0.000000,0.000160,0.000000,0.053728,0.053759
0.000020,0.000127,0.000000,0.000159,0.000000,0.052131,0.052162
0.000020,0.000137,0.000000,0.000167,0.000000,0.050980,0.051008
0.000020,0.000125,0.000000,0.000157,0.000000,0.054030,0.054061
0.000020,0.000133,0.000000,0.000165,0.000000,0.054210,0.054240
0.000019,0.000138,0.000000,0.000167,0.000000,0.053498,0.053529
0.000020,0.000130,0.000000,0.000163,0.000000,0.053234,0.053264
0.000021,0.000132,0.000000,0.000164,0.000000,0.053116,0.053147
0.000020,0.000139,0.000000,0.000169,0.000000,0.053738,0.053769
0.000019,0.000130,0.000000,0.000159,0.000000,0.051635,0.051667
0.000018,0.000125,0.000000,0.000154,0.000000,0.054036,0.054070
0.000020,0.000125,0.000000,0.000157,0.000000,0.053508,0.053535
0.000019,0.000129,0.000000,0.000159,0.000000,0.053181,0.053212
0.000018,0.000124,0.000000,0.000152,0.000000,0.056133,0.056167
0.000021,0.000130,0.000000,0.000162,0.000000,0.053545,0.053574
0.000020,0.000134,0.000000,0.000163,0.000000,0.055927,0.055961
0.000022,0.000136,0.000000,0.000165,0.000000,0.052410,0.052444
0.000020,0.000131,0.000000,0.000162,0.000000,0.053463,0.053492
0.000021,0.000129,0.000000,0.000160,0.000000,0.053437,0.053467
0.000022,0.000143,0.000000,0.000206,0.000000,0.053579,0.053612
0.000020,0.000134,0.000000,0.000165,0.000000,0.053294,0.053325
0.000020,0.000130,0.000000,0.000172,0.000000,0.051787,0.051818
0.000022,0.000131,0.000000,0.000161,0.000000,0.054008,0.054041
0.000020,0.000132,0.000000,0.000166,0.000000,0.059268,0.059304
0.000019,0.000132,0.000000,0.000161,0.000000,0.010729,0.010755
0.000019,0.000124,0.000000,0.000156,0.000000,0.055866,0.055898
0.000020,0.000132,0.000000,0.000162,0.000000,0.056396,0.056426
0.000021,0.000134,0.000000,0.000164,0.000000,0.055802,0.055837
0.000020,0.000221,0.000000,0.000796,0.000000,0.056682,0.056714
0.000020,0.000130,0.000000,0.000159,0.000000,0.051220,0.051251
0.000020,0.000120,0.000000,0.000152,0.000000,0.055467,0.055497
0.000024,0.000135,0.000000,0.000164,0.000000,0.053858,0.053887
0.000019,0.000136,0.000000,0.000167,0.000000,0.061655,0.061685
0.000020,0.000131,0.000000,0.000162,0.000000,0.052158,0.052191
0.000019,0.000129,0.000000,0.000159,0.000000,0.050906,0.050939
0.000018,0.000128,0.000000,0.000157,0.000000,0.052629,0.052662
0.000021,0.000119,0.000000,0.000148,0.000000,0.051127,0.051153
0.000024,0.000137,0.000000,0.000166,0.000000,0.060618,0.060648
0.000019,0.000128,0.000000,0.000156,0.000000,0.052265,0.052297
0.000022,0.000146,0.000000,0.000177,0.000000,0.056719,0.056748
0.000020,0.000129,0.000000,0.000160,0.000000,0.049928,0.049956
0.000017,0.000127,0.000000,0.000157,0.000000,0.055472,0.055507
0.000020,0.000132,0.000000,0.000165,0.000000,0.053507,0.053538
0.000019,0.000128,0.000000,0.000159,0.000000,0.053721,0.053811
0.000022,0.000134,0.000000,0.000167,0.000000,0.052595,0.052624
0.000019,0.000131,0.000000,0.000160,0.000000,0.052987,0.053019
0.000019,0.000131,0.000000,0.000163,0.000000,0.052549,0.052581
0.000019,0.000128,0.000000,0.000160,0.000000,0.053274,0.053308
0.000019,0.000125,0.000000,0.000155,0.000000,0.056138,0.056170
0.000020,0.000186,0.000000,0.000223,0.000000,0.050778,0.050810
0.000022,0.000123,0.000000,0.000155,0.000000,0.055335,0.055367
0.000020,0.000129,0.000000,0.000161,0.000000,0.054509,0.054540
0.000020,0.000180,0.000000,0.000216,0.000000,0.052437,0.052466
0.000020,0.000116,0.000000,0.000147,0.000000,0.052516,0.052550
0.000021,0.000132,0.000000,0.000160,0.000000,0.057680,0.057713
0.000023,0.000136,0.000000,0.000168,0.000000,0.054726,0.054758
0.000021,0.000135,0.000000,0.000163,0.000000,0.053300,0.053327
0.000021,0.000113,0.000000,0.000144,0.000000,0.052533,0.052562
0.000021,0.000130,0.000000,0.000162,0.000000,0.055008,0.055040
0.000021,0.000166,0.000000,0.000199,0.000000,0.058883,0.058919
0.000020,0.000139,0.000000,0.000170,0.000000,0.015534,0.015565
0.000019,0.000129,0.000000,0.000158,0.000000,0.031800,0.031828
0.000019,0.000146,0.000000,0.000176,0.000000,0.054587,0.054620
0.000025,0.000159,0.000000,0.000262,0.000000,0.057859,0.057892
0.000019,0.000124,0.000000,0.000153,0.000000,0.036734,0.036772
0.000019,0.000133,0.000000,0.000163,0.000000,0.020093,0.020126
0.000021,0.000132,0.000000,0.000162,0.000000,0.011405,0.011434
0.000028,0.000139,0.000000,0.000168,0.000000,0.056331,0.056363
0.000021,0.000136,0.000000,0.000166,0.000000,0.059018,0.059054
0.000019,0.000129,0.000000,0.000161,0.000000,0.057535,0.057575
0.000022,0.000135,0.000000,0.000164,0.000000,0.050712,0.050746
0.000022,0.000138,0.000000,0.000168,0.000000,0.054249,0.054284
0.000020,0.000131,0.000000,0.000160,0.000000,0.053801,0.053832
0.000020,0.000127,0.000000,0.000161,0.000000,0.049832,0.049863
0.000020,0.000129,0.000000,0.000159,0.000000,0.054762,0.054790
0.000019,0.000126,0.000000,0.000155,0.000000,0.057539,0.057566
0.000019,0.000128,0.000000,0.000162,0.000000,0.057287,0.057318
0.000020,0.000124,0.000000,0.000152,0.000000,0.053667,0.053703
0.000018,0.000111,0.000000,0.000140,0.000000,0.054248,0.054282
0.000020,0.000121,0.000000,0.000152,0.000000,0.052214,0.052245
0.000019,0.000128,0.000000,0.000157,0.000000,0.059447,0.059480
0.000020,0.000137,0.000000,0.000167,0.000000,0.056392,0.056423
0.000019,0.000130,0.000000,0.000162,0.000000,0.051462,0.051492
0.000020,0.000120,0.000000,0.000152,0.000000,0.050978,0.051009
0.000027,0.000143,0.000000,0.000177,0.000000,0.059416,0.059449
0.000020,0.000129,0.000000,0.000157,0.000000,0.054520,0.054551
0.000020,0.000129,0.000000,0.000158,0.000000,0.059326,0.059359
0.000022,0.000136,0.000000,0.000169,0.000000,0.057500,0.057529
0.000022,0.000135,0.000000,0.000163,0.000000,0.054562,0.054596
0.000018,0.000135,0.000000,0.000165,0.000000,0.052570,0.052602
0.000021,0.000129,0.000000,0.000159,0.000000,0.058534,0.058564
0.000023,0.000146,0.000000,0.000176,0.000000,0.057666,0.057701
0.000022,0.000120,0.000000,0.000148,0.000000,0.052896,0.052924
0.000019,0.000124,0.000000,0.000153,0.000000,0.055425,0.055458
0.000020,0.000129,0.000000,0.000162,0.000000,0.061795,0.061826
0.000022,0.000130,0.000000,0.000160,0.000000,0.058922,0.058951
0.000019,0.000126,0.000000,0.000158,0.000000,0.057733,0.057761
0.000020,0.000135,0.000000,0.000166,0.000000,0.056615,0.056647
0.000017,0.000118,0.000000,0.000149,0.000000,0.056706,0.056739
0.000019,0.000137,0.000000,0.000168,0.000000,0.011895,0.011924
0.000020,0.000136,0.000000,0.000166,0.000000,0.057191,0.057224
0.000019,0.000123,0.000000,0.000153,0.000000,0.055564,0.055597
0.000020,0.000129,0.000000,0.000156,0.000000,0.058313,0.058343
0.000021,0.000147,0.000000,0.000177,0.000000,0.055666,0.055698
0.000018,0.000127,0.000000,0.000156,0.000000,0.057072,0.057104
0.000022,0.000135,0.000000,0.000168,0.000000,0.057591,0.057620
0.000019,0.000127,0.000000,0.000155,0.000000,0.052759,0.052791
0.000021,0.000136,0.000000,0.000168,0.000000,0.054687,0.054716
0.000020,0.000125,0.000000,0.000157,0.000000,0.055448,0.055478
0.000024,0.000128,0.000000,0.000156,0.000000,0.057302,0.057332
0.000021,0.000137,0.000000,0.000169,0.000000,0.056014,0.056046
0.000020,0.000134,0.000000,0.000168,0.000000,0.057535,0.057565
0.000021,0.000134,0.000000,0.000163,0.000000,0.056363,0.056392
0.000021,0.000134,0.000000,0.000168,0.000000,0.057921,0.057953
0.000021,0.000134,0.000000,0.000164,0.000000,0.053151,0.053253
0.000023,0.000139,0.000000,0.000169,0.000000,0.056869,0.056904
0.000021,0.000133,0.000000,0.000165,0.000000,0.052641,0.052671
0.000017,0.000125,0.000000,0.000155,0.000000,0.055138,0.055170
0.000023,0.000145,0.000000,0.000174,0.000000,0.052562,0.052591
0.000019,0.000132,0.000000,0.000162,0.000000,0.057075,0.057104
0.000022,0.000122,0.000000,0.000151,0.000000,0.057753,0.057787
0.000019,0.000134,0.000000,0.000164,0.000000,0.057625,0.057656
0.000024,0.000137,0.000000,0.000166,0.000000,0.058109,0.058143
0.000021,0.000134,0.000000,0.000163,0.000000,0.055294,0.055324
0.000019,0.000129,0.000000,0.000159,0.000000,0.052266,0.052299
0.000020,0.000125,0.000000,0.000154,0.000000,0.057136,0.057173
0.000023,0.000134,0.000000,0.000162,0.000000,0.059849,0.059879
0.000018,0.000130,0.000000,0.000160,0.000000,0.055518,0.055547
0.000023,0.000151,0.000000,0.000183,0.000000,0.054260,0.054291
0.000021,0.000140,0.000000,0.000169,0.000000,0.053215,0.053245
0.000020,0.000131,0.000000,0.000160,0.000000,0.054585,0.054621
0.000020,0.000164,0.000000,0.000199,0.000000,0.056281,0.056311
0.000019,0.000131,0.000000,0.000163,0.000000,0.050812,0.050844
0.000017,0.000125,0.000000,0.000153,0.000000,0.053566,0.053596
0.000021,0.000130,0.000000,0.000162,0.000000,0.054613,0.054645
0.000019,0.000129,0.000000,0.000157,0.000000,0.057280,0.057309
0.000018,0.000128,0.000000,0.000157,0.000000,0.052854,0.052885
