time_namelookup (seconds),time_connect (seconds),time_appconnect (seconds),time_pretransfer (seconds),time_redirect (seconds),time_starttransfer (seconds),time_total (seconds)
0.000021,0.000136,0.000000,0.000168,0.000000,0.013132,0.013178
0.000020,0.000116,0.000000,0.000143,0.000000,0.008728,0.008758
0.000019,0.000129,0.000000,0.000158,0.000000,0.007279,0.007308
0.000021,0.000134,0.000000,0.000167,0.000000,0.012144,0.012173
0.000023,0.000136,0.000000,0.000169,0.000000,0.011102,0.011153
0.000025,0.000294,0.000000,0.000330,0.000000,0.013754,0.013801
0.000020,0.000124,0.000000,0.000157,0.000000,0.011086,0.011132
0.000020,0.000136,0.000000,0.000170,0.000000,0.014060,0.014089
0.000022,0.000130,0.000000,0.000159,0.000000,0.010351,0.010383
0.000019,0.000125,0.000000,0.000154,0.000000,0.009986,0.010017
0.000023,0.000143,0.000000,0.000172,0.000000,0.011063,0.011091
0.000021,0.000125,0.000000,0.000157,0.000000,0.008018,0.008049
0.000022,0.000128,0.000000,0.000157,0.000000,0.010536,0.010586
0.000018,0.000126,0.000000,0.000157,0.000000,0.013172,0.013206
0.000021,0.000138,0.000000,0.000171,0.000000,0.007687,0.007716
0.000023,0.000133,0.000000,0.000165,0.000000,0.012032,0.012061
0.000021,0.000125,0.000000,0.000153,0.000000,0.011653,0.011702
0.000021,0.000128,0.000000,0.000161,0.000000,0.010051,0.010082
0.000019,0.000135,0.000000,0.000168,0.000000,0.014386,0.014417
0.000020,0.000131,0.000000,0.000158,0.000000,0.009951,0.009982
0.000017,0.000130,0.000000,0.000159,0.000000,0.011736,0.011767
0.000038,0.000160,0.000000,0.000190,0.000000,0.008210,0.008242
0.000021,0.000122,0.000000,0.000155,0.000000,0.008160,0.008251
0.000020,0.000142,0.000000,0.000173,0.000000,0.008921,0.008973
0.000020,0.000117,0.000000,0.000148,0.000000,0.011509,0.011551
0.000021,0.000137,0.000000,0.000167,0.000000,0.011081,0.011130
0.000020,0.000112,0.000000,0.000144,0.000000,0.013750,0.013781
0.000018,0.000134,0.000000,0.000164,0.000000,0.009782,0.009824
0.000022,0.000135,0.000000,0.000164,0.000000,0.008657,0.008700
0.000018,0.000113,0.000000,0.000142,0.000000,0.007143,0.007192
0.000017,0.000125,0.000000,0.000152,0.000000,0.008035,0.008069
0.000020,0.000131,0.000000,0.000164,0.000000,0.010081,0.010111
0.000019,0.000118,0.000000,0.000147,0.000000,0.013432,0.013476
0.000021,0.000127,0.000000,0.000162,0.000000,0.009703,0.009787
0.000019,0.000130,0.000000,0.000158,0.000000,0.013916,0.013951
0.000020,0.000133,0.000000,0.000167,0.000000,0.011008,0.011060
0.000022,0.000132,0.000000,0.000164,0.000000,0.010883,0.010915
