time_namelookup (seconds),time_connect (seconds),time_appconnect (seconds),time_pretransfer (seconds),time_redirect (seconds),time_starttransfer (seconds),time_total (seconds)
0.000085,0.000439,0.000000,0.000563,0.000000,0.017892,0.018444
0.000026,0.000157,0.000000,0.000197,0.000000,0.030324,0.030428
0.000032,0.000191,0.000000,0.000250,0.000000,0.006978,0.007132
0.000022,0.000125,0.000000,0.000157,0.000000,0.009035,0.009135
0.000019,0.000126,0.000000,0.000155,0.000000,0.004209,0.004246
0.000019,0.000115,0.000000,0.000147,0.000000,0.031081,0.031194
0.000025,0.000133,0.000000,0.000164,0.000000,0.043133,0.043207
0.000048,0.000233,0.000000,0.000296,0.000000,0.053971,0.054088
0.000023,0.000134,0.000000,0.000162,0.000000,0.055870,0.055979
0.000020,0.000108,0.000000,0.000141,0.000000,0.007944,0.008044
0.000020,0.000133,0.000000,0.000166,0.000000,0.004869,0.004899
0.000026,0.000159,0.000000,0.000200,0.000000,0.010077,0.010199
0.000021,0.000128,0.000000,0.000163,0.000000,0.004398,0.004506
0.000021,0.000134,0.000000,0.000162,0.000000,0.004234,0.004469
0.000040,0.000190,0.000000,0.000252,0.000000,0.010364,0.010409
0.000021,0.000132,0.000000,0.000205,0.000000,0.004208,0.004299
0.000020,0.000128,0.000000,0.000161,0.000000,0.063125,0.063238
0.000046,0.000309,0.000000,0.000358,0.000000,0.009125,0.009159
0.000021,0.000140,0.000000,0.000175,0.000000,0.013658,0.013693
0.000021,0.000145,0.000000,0.000176,0.000000,0.004679,0.004771
0.000021,0.000119,0.000000,0.000148,0.000000,0.004269,0.004361
0.000020,0.000130,0.000000,0.000159,0.000000,0.004082,0.004177
0.000028,0.000156,0.000000,0.000192,0.000000,0.008975,0.009107
0.000021,0.000131,0.000000,0.000163,0.000000,0.004010,0.004089
0.000023,0.000142,0.000000,0.000181,0.000000,0.004699,0.004803
0.000021,0.000129,0.000000,0.000163,0.000000,0.077640,0.077828
0.000023,0.000147,0.000000,0.000180,0.000000,0.029688,0.029820
0.000018,0.000128,0.000000,0.000157,0.000000,0.004224,0.004738
0.000019,0.000132,0.000000,0.000163,0.000000,0.004117,0.004221
0.000034,0.000197,0.000000,0.000246,0.000000,0.006815,0.006971
0.000024,0.000139,0.000000,0.000171,0.000000,0.031393,0.031560
0.000034,0.000184,0.000000,0.000236,0.000000,0.067119,0.067533
0.000038,0.000244,0.000000,0.000310,0.000000,0.016609,0.016751
0.000031,0.000158,0.000000,0.000191,0.000000,0.036106,0.036598
0.000020,0.000196,0.000000,0.000233,0.000000,0.032849,0.032928
0.000021,0.000134,0.000000,0.000163,0.000000,0.019917,0.020014
0.000024,0.000155,0.000000,0.000195,0.000000,0.036420,0.036506
0.000023,0.000138,0.000000,0.000169,0.000000,0.004098,0.004271
0.000020,0.000139,0.000000,0.000168,0.000000,0.036135,0.036243
