time_namelookup (seconds),time_connect (seconds),time_appconnect (seconds),time_pretransfer (seconds),time_redirect (seconds),time_starttransfer (seconds),time_total (seconds)
0.000026,0.000184,0.000000,0.000224,0.000000,0.015192,0.015222
0.000025,0.000154,0.000000,0.000199,0.000000,0.156642,0.157468
0.000019,0.000126,0.000000,0.000154,0.000000,0.080087,0.080248
0.000024,0.000147,0.000000,0.000186,0.000000,0.019394,0.019613
0.000019,0.000117,0.000000,0.000146,0.000000,0.055303,0.055510
0.000019,0.000123,0.000000,0.000155,0.000000,0.006521,0.006664
0.000021,0.000144,0.000000,0.000177,0.000000,0.088487,0.088835
0.000017,0.000130,0.000000,0.000160,0.000000,0.079001,0.079170
0.000029,0.000186,0.000000,0.000248,0.000000,0.077799,0.078052
0.000020,0.000130,0.000000,0.000162,0.000000,0.223500,0.224278
0.000021,0.000239,0.000000,0.000282,0.000000,0.047668,0.047876
0.000020,0.000125,0.000000,0.000153,0.000000,0.050876,0.051810
0.000026,0.000160,0.000000,0.000202,0.000000,0.076059,0.076255
0.000020,0.000122,0.000000,0.000167,0.000000,0.096715,0.096930
0.000080,0.000182,0.000000,0.000212,0.000000,0.031506,0.031691
0.000026,0.000146,0.000000,0.000192,0.000000,0.026493,0.026675
0.000019,0.000140,0.000000,0.000189,0.000000,0.008767,0.008972
0.000028,0.000169,0.000000,0.000215,0.000000,0.152419,0.152703
0.000022,0.000157,0.000000,0.000188,0.000000,0.067258,0.067532
0.000020,0.000131,0.000000,0.000164,0.000000,0.079632,0.079965
0.000022,0.000131,0.000000,0.000165,0.000000,0.161307,0.162160
0.000020,0.000127,0.000000,0.000161,0.000000,0.057169,0.057364
0.000021,0.000127,0.000000,0.000160,0.000000,0.055831,0.056005
0.000019,0.000135,0.000000,0.000168,0.000000,0.015920,0.016113
0.000022,0.000133,0.000000,0.000163,0.000000,0.170830,0.171769
0.000022,0.000145,0.000000,0.000185,0.000000,0.053135,0.053325
0.000036,0.000219,0.000000,0.000284,0.000000,0.068931,0.069126
0.000019,0.000128,0.000000,0.000159,0.000000,0.080549,0.080923
0.000020,0.000133,0.000000,0.000162,0.000000,0.022749,0.022924
0.000021,0.000122,0.000000,0.000154,0.000000,0.035181,0.035380
0.000021,0.000128,0.000000,0.000161,0.000000,0.137466,0.137898
0.000017,0.000107,0.000000,0.000134,0.000000,0.088293,0.089104
0.000021,0.000150,0.000000,0.000186,0.000000,0.094141,0.094381
0.000019,0.000134,0.000000,0.000166,0.000000,0.089898,0.090792
0.000030,0.000192,0.000000,0.000245,0.000000,0.053572,0.054430
0.000020,0.000128,0.000000,0.000162,0.000000,0.096930,0.097996
0.000018,0.000131,0.000000,0.000160,0.000000,0.190826,0.191626
0.000020,0.000128,0.000000,0.000160,0.000000,0.006506,0.006682
0.000018,0.000115,0.000000,0.000145,0.000000,0.058593,0.058808
0.000019,0.000124,0.000000,0.000157,0.000000,0.186701,0.187591
