time_namelookup (seconds),time_connect (seconds),time_appconnect (seconds),time_pretransfer (seconds),time_redirect (seconds),time_starttransfer (seconds),time_total (seconds)
0.000020,0.000129,0.000000,0.000159,0.000000,0.004466,0.004571
0.000021,0.000131,0.000000,0.000161,0.000000,0.004479,0.004513
0.000020,0.000143,0.000000,0.000174,0.000000,0.006936,0.007057
0.000024,0.000134,0.000000,0.000163,0.000000,0.004023,0.004130
0.000019,0.000140,0.000000,0.000171,0.000000,0.004332,0.004454
0.000032,0.000232,0.000000,0.000267,0.000000,0.004547,0.004721
0.000023,0.000130,0.000000,0.000159,0.000000,0.004796,0.004977
0.000021,0.000153,0.000000,0.000189,0.000000,0.004310,0.004454
0.000021,0.000136,0.000000,0.000169,0.000000,0.050788,0.051272
0.000067,0.000277,0.000000,0.000347,0.000000,0.014363,0.014513
0.000024,0.000139,0.000000,0.000168,0.000000,0.004236,0.004344
0.000023,0.000130,0.000000,0.000158,0.000000,0.004224,0.004328
0.000021,0.000134,0.000000,0.000168,0.000000,0.031477,0.031580
0.000022,0.000116,0.000000,0.000144,0.000000,0.004314,0.004420
0.000023,0.000129,0.000000,0.000157,0.000000,0.004328,0.004441
0.000020,0.000127,0.000000,0.000161,0.000000,0.028725,0.028829
0.000020,0.000120,0.000000,0.000153,0.000000,0.004211,0.004328
0.000022,0.000133,0.000000,0.000165,0.000000,0.070988,0.071503
0.000024,0.000150,0.000000,0.000188,0.000000,0.005147,0.005327
0.000025,0.000149,0.000000,0.000188,0.000000,0.053160,0.053618
0.000023,0.000144,0.000000,0.000178,0.000000,0.005428,0.005562
0.000021,0.000150,0.000000,0.000181,0.000000,0.026253,0.026401
0.000022,0.000121,0.000000,0.000150,0.000000,0.072148,0.072645
0.000078,0.000448,0.000000,0.000574,0.000000,0.024923,0.025476
0.000044,0.000265,0.000000,0.000335,0.000000,0.034098,0.034329
0.000045,0.000427,0.000000,0.000509,0.000000,0.050313,0.050528
0.000036,0.000203,0.000000,0.000256,0.000000,0.069469,0.069724
0.000021,0.000116,0.000000,0.000145,0.000000,0.004220,0.004333
0.000022,0.000149,0.000000,0.000185,0.000000,0.054395,0.054497
0.000021,0.000129,0.000000,0.000164,0.000000,0.004107,0.004216
