time_namelookup (seconds),time_connect (seconds),time_appconnect (seconds),time_pretransfer (seconds),time_redirect (seconds),time_starttransfer (seconds),time_total (seconds)
0.000026,0.000151,0.000000,0.000189,0.000000,0.016553,0.016974
0.000018,0.000118,0.000000,0.000148,0.000000,0.058278,0.058442
0.000018,0.000131,0.000000,0.000160,0.000000,0.044806,0.044840
0.000026,0.000159,0.000000,0.000197,0.000000,0.034271,0.034304
0.000020,0.000124,0.000000,0.000157,0.000000,0.015578,0.015613
0.000024,0.000127,0.000000,0.000156,0.000000,0.018132,0.018173
0.000036,0.000219,0.000000,0.000281,0.000000,0.053763,0.053797
0.000038,0.000201,0.000000,0.000262,0.000000,0.024987,0.025185
0.000042,0.000226,0.000000,0.000296,0.000000,0.030869,0.031906
0.000021,0.000132,0.000000,0.000161,0.000000,0.015384,0.015668
0.000024,0.000143,0.000000,0.000178,0.000000,0.017279,0.017319
0.000020,0.000148,0.000000,0.000179,0.000000,0.060120,0.060160
0.000026,0.000142,0.000000,0.000173,0.000000,0.062356,0.062391
0.000018,0.000128,0.000000,0.000157,0.000000,0.024271,0.024304
0.000038,0.000224,0.000000,0.000284,0.000000,0.039278,0.040320
0.000020,0.000115,0.000000,0.000143,0.000000,0.016139,0.016176
0.000022,0.000142,0.000000,0.000173,0.000000,0.019029,0.019148
0.000021,0.000136,0.000000,0.000170,0.000000,0.023892,0.024367
0.000020,0.000149,0.000000,0.000184,0.000000,0.169811,0.169847
0.000022,0.000124,0.000000,0.000153,0.000000,0.064375,0.064414
0.000021,0.000117,0.000000,0.000148,0.000000,0.014485,0.014598
0.000021,0.000121,0.000000,0.000148,0.000000,0.020629,0.020671
0.000021,0.000141,0.000000,0.000171,0.000000,0.020156,0.020193
0.000021,0.000144,0.000000,0.000176,0.000000,0.017548,0.017580
0.000027,0.000140,0.000000,0.000173,0.000000,0.071549,0.071632
0.000018,0.000132,0.000000,0.000161,0.000000,0.054154,0.054184
0.000022,0.000199,0.000000,0.000232,0.000000,0.015603,0.015751
0.000033,0.000190,0.000000,0.000234,0.000000,0.019306,0.019774
0.000058,0.000323,0.000000,0.000424,0.000000,0.070119,0.070246
0.000019,0.000119,0.000000,0.000147,0.000000,0.036711,0.036849
0.000023,0.000135,0.000000,0.000164,0.000000,0.014937,0.014972
0.000024,0.000154,0.000000,0.000197,0.000000,0.026741,0.026776
0.000020,0.000130,0.000000,0.000162,0.000000,0.060366,0.060400
0.000018,0.000129,0.000000,0.000162,0.000000,0.089571,0.089615
0.000021,0.000139,0.000000,0.000170,0.000000,0.089958,0.089990
0.000024,0.000137,0.000000,0.000177,0.000000,0.019338,0.019371
0.000021,0.000137,0.000000,0.000171,0.000000,0.031967,0.032001
0.000019,0.000128,0.000000,0.000161,0.000000,0.091570,0.091915
0.000032,0.000170,0.000000,0.000215,0.000000,0.017510,0.017543
0.000028,0.000179,0.000000,0.000222,0.000000,0.018821,0.018857
0.000019,0.000130,0.000000,0.000159,0.000000,0.014735,0.014860
0.000021,0.000135,0.000000,0.000168,0.000000,0.017515,0.017546
0.000020,0.000132,0.000000,0.000161,0.000000,0.020365,0.020399
0.000039,0.000201,0.000000,0.000255,0.000000,0.075845,0.075923
0.000022,0.000153,0.000000,0.000190,0.000000,0.018996,0.019035
0.000021,0.000139,0.000000,0.000169,0.000000,0.031810,0.031843
0.000020,0.000125,0.000000,0.000159,0.000000,0.047317,0.047352
0.000020,0.000134,0.000000,0.000166,0.000000,0.037412,0.038139
0.000028,0.000134,0.000000,0.000176,0.000000,0.018139,0.018178
0.000024,0.000149,0.000000,0.000181,0.000000,0.042292,0.042329
0.000022,0.000136,0.000000,0.000166,0.000000,0.014628,0.015360
0.000019,0.000122,0.000000,0.000150,0.000000,0.045344,0.045380
0.000020,0.000131,0.000000,0.000160,0.000000,0.015174,0.015213
0.000018,0.000122,0.000000,0.000150,0.000000,0.014453,0.014967
0.000022,0.000144,0.000000,0.000180,0.000000,0.018662,0.018698
0.000019,0.000131,0.000000,0.000159,0.000000,0.014775,0.014821
0.000019,0.000134,0.000000,0.000165,0.000000,0.069301,0.069352
0.000017,0.000124,0.000000,0.000153,0.000000,0.015404,0.015616
0.000033,0.000194,0.000000,0.000238,0.000000,0.046970,0.047012
0.000072,0.000206,0.000000,0.000252,0.000000,0.021120,0.021153
0.000022,0.000138,0.000000,0.000168,0.000000,0.034749,0.034786
0.000019,0.000130,0.000000,0.000158,0.000000,0.015156,0.015570
0.000019,0.000128,0.000000,0.000157,0.000000,0.014544,0.014582
0.000022,0.000132,0.000000,0.000160,0.000000,0.016786,0.016821
0.000021,0.000129,0.000000,0.000158,0.000000,0.015894,0.015925
0.000019,0.000126,0.000000,0.000154,0.000000,0.030540,0.030575
0.000018,0.000128,0.000000,0.000158,0.000000,0.029546,0.029581
0.000026,0.000142,0.000000,0.000176,0.000000,0.015859,0.015893
0.000021,0.000136,0.000000,0.000169,0.000000,0.027224,0.027255
0.000020,0.000131,0.000000,0.000163,0.000000,0.044462,0.044896
0.000021,0.000132,0.000000,0.000160,0.000000,0.016173,0.016207
0.000021,0.000132,0.000000,0.000165,0.000000,0.032851,0.036167
0.000019,0.000135,0.000000,0.000164,0.000000,0.019190,0.019227
0.000018,0.000126,0.000000,0.000156,0.000000,0.019715,0.019753
0.000032,0.000185,0.000000,0.000236,0.000000,0.020852,0.020991
0.000022,0.000134,0.000000,0.000168,0.000000,0.058552,0.058586
0.000020,0.000142,0.000000,0.000174,0.000000,0.019760,0.019802
0.000019,0.000128,0.000000,0.000157,0.000000,0.029777,0.029807
0.000023,0.000136,0.000000,0.000169,0.000000,0.015573,0.015608
0.000019,0.000115,0.000000,0.000147,0.000000,0.015117,0.015647
0.000018,0.000132,0.000000,0.000161,0.000000,0.018523,0.018554
0.000034,0.000177,0.000000,0.000224,0.000000,0.018869,0.019327
0.000020,0.000133,0.000000,0.000162,0.000000,0.064368,0.064406
0.000022,0.000127,0.000000,0.000161,0.000000,0.015144,0.015180
0.000020,0.000138,0.000000,0.000174,0.000000,0.024746,0.024780
0.000020,0.000126,0.000000,0.000159,0.000000,0.016499,0.016534
0.000021,0.000130,0.000000,0.000165,0.000000,0.018212,0.018246
0.000024,0.000130,0.000000,0.000162,0.000000,0.082026,0.082065
0.000030,0.000311,0.000000,0.001552,0.000000,0.028821,0.028853
0.000021,0.000137,0.000000,0.000172,0.000000,0.034867,0.034904
0.000019,0.000146,0.000000,0.000180,0.000000,0.055742,0.056099
0.000027,0.000165,0.000000,0.000204,0.000000,0.047433,0.047464
0.000032,0.000158,0.000000,0.000195,0.000000,0.016829,0.016864
0.000021,0.000138,0.000000,0.000170,0.000000,0.031154,0.031185
0.000021,0.000115,0.000000,0.000147,0.000000,0.015953,0.015984
0.000022,0.000142,0.000000,0.000172,0.000000,0.037215,0.037250
0.000021,0.000118,0.000000,0.000146,0.000000,0.017529,0.017660
0.000020,0.000145,0.000000,0.000176,0.000000,0.148496,0.148601
0.000027,0.000171,0.000000,0.000214,0.000000,0.038282,0.038325
0.000018,0.000124,0.000000,0.000153,0.000000,0.102360,0.103212
0.000019,0.000115,0.000000,0.000145,0.000000,0.039831,0.040223
0.000020,0.000127,0.000000,0.000155,0.000000,0.019195,0.019631
0.000027,0.000175,0.000000,0.000215,0.000000,0.019913,0.019946
0.000021,0.000130,0.000000,0.000162,0.000000,0.014320,0.014354
0.000018,0.000133,0.000000,0.000163,0.000000,0.072603,0.072716
0.000018,0.000132,0.000000,0.000161,0.000000,0.066437,0.067082
0.000019,0.000131,0.000000,0.000162,0.000000,0.018554,0.018590
0.000019,0.000121,0.000000,0.000151,0.000000,0.017434,0.017471
0.000022,0.000229,0.000000,0.000264,0.000000,0.047127,0.047157
0.000021,0.000125,0.000000,0.000156,0.000000,0.017407,0.017446
0.000023,0.000138,0.000000,0.000175,0.000000,0.058870,0.059055
0.000025,0.000145,0.000000,0.000187,0.000000,0.019929,0.019967
0.000020,0.000129,0.000000,0.000162,0.000000,0.016589,0.016625
0.000019,0.000137,0.000000,0.000167,0.000000,0.074102,0.074139
0.000020,0.000129,0.000000,0.000161,0.000000,0.032409,0.032442
0.000032,0.000174,0.000000,0.000221,0.000000,0.065007,0.065044
0.000026,0.000150,0.000000,0.000193,0.000000,0.029274,0.029316
0.000022,0.000134,0.000000,0.000166,0.000000,0.016073,0.016107
0.000023,0.000137,0.000000,0.000170,0.000000,0.020017,0.020053
0.000018,0.000132,0.000000,0.000162,0.000000,0.162747,0.162846
0.000020,0.000135,0.000000,0.000164,0.000000,0.101663,0.101693
0.000021,0.000251,0.000000,0.000502,0.000000,0.016489,0.016525
0.000021,0.000127,0.000000,0.000157,0.000000,0.020337,0.020373
0.000022,0.000140,0.000000,0.000171,0.000000,0.062499,0.062537
0.000020,0.000128,0.000000,0.000181,0.000000,0.069994,0.070029
0.000025,0.000168,0.000000,0.000207,0.000000,0.022176,0.022217
0.000021,0.000139,0.000000,0.000171,0.000000,0.028254,0.028287
0.000028,0.000151,0.000000,0.000185,0.000000,0.018337,0.018374
0.000021,0.000130,0.000000,0.000163,0.000000,0.069550,0.069585
0.000023,0.000135,0.000000,0.000168,0.000000,0.062015,0.062544
0.000024,0.000136,0.000000,0.000166,0.000000,0.016378,0.016409
0.000023,0.000133,0.000000,0.000162,0.000000,0.029126,0.029161
0.000020,0.000134,0.000000,0.000166,0.000000,0.017998,0.018030
0.000019,0.000135,0.000000,0.000164,0.000000,0.018038,0.018077
0.000019,0.000256,0.000000,0.000606,0.000000,0.100047,0.100081
0.000022,0.000146,0.000000,0.000178,0.000000,0.031416,0.031449
0.000019,0.000132,0.000000,0.000160,0.000000,0.026914,0.026948
0.000020,0.000131,0.000000,0.000163,0.000000,0.019569,0.019833
0.000023,0.000463,0.000000,0.000510,0.000000,0.016291,0.016327
0.000021,0.000124,0.000000,0.000157,0.000000,0.052223,0.052993
0.000037,0.000208,0.000000,0.000270,0.000000,0.077111,0.077141
0.000021,0.000143,0.000000,0.000174,0.000000,0.030629,0.031037
0.000019,0.000134,0.000000,0.000165,0.000000,0.019780,0.020216
0.000029,0.000218,0.000000,0.000257,0.000000,0.022013,0.022067
0.000018,0.000140,0.000000,0.000190,0.000000,0.016457,0.016491
0.000022,0.000147,0.000000,0.000177,0.000000,0.035912,0.036360
0.000018,0.000133,0.000000,0.000163,0.000000,0.070569,0.070605
0.000019,0.000124,0.000000,0.000152,0.000000,0.018664,0.018705
0.000020,0.000133,0.000000,0.000163,0.000000,0.070121,0.070222
0.000022,0.000141,0.000000,0.000175,0.000000,0.025465,0.025499
0.000037,0.000204,0.000000,0.000250,0.000000,0.027943,0.028002
0.000027,0.000176,0.000000,0.000223,0.000000,0.021127,0.021167
0.000021,0.000113,0.000000,0.000143,0.000000,0.043371,0.043405
0.000023,0.000244,0.000000,0.000292,0.000000,0.075487,0.075519
0.000020,0.000129,0.000000,0.000158,0.000000,0.033326,0.033358
0.000023,0.000148,0.000000,0.000188,0.000000,0.176760,0.176861
0.000018,0.000132,0.000000,0.000161,0.000000,0.020812,0.020844
0.000019,0.000135,0.000000,0.000164,0.000000,0.015989,0.016030
0.000045,0.000253,0.000000,0.000332,0.000000,0.034827,0.035397
0.000056,0.000330,0.000000,0.000438,0.000000,0.047176,0.047255
0.000018,0.000121,0.000000,0.000149,0.000000,0.052446,0.052485
0.000018,0.000119,0.000000,0.000148,0.000000,0.017497,0.017532
0.000024,0.000136,0.000000,0.000172,0.000000,0.018585,0.018619
0.000028,0.000184,0.000000,0.000229,0.000000,0.022550,0.023132
0.000021,0.000144,0.000000,0.000178,0.000000,0.035375,0.035413
0.000020,0.000117,0.000000,0.000150,0.000000,0.064119,0.064152
0.000032,0.000219,0.000000,0.000273,0.000000,0.024417,0.024448
0.000025,0.000130,0.000000,0.000167,0.000000,0.055744,0.055777
0.000021,0.000177,0.000000,0.000215,0.000000,0.016126,0.016164
0.000019,0.000129,0.000000,0.000157,0.000000,0.155281,0.155389
0.000031,0.000160,0.000000,0.000211,0.000000,0.060195,0.060295
0.000020,0.000122,0.000000,0.000155,0.000000,0.015110,0.015142
0.000042,0.000245,0.000000,0.000317,0.000000,0.034421,0.034479
0.000033,0.000189,0.000000,0.000240,0.000000,0.075108,0.075155
0.000020,0.000119,0.000000,0.000148,0.000000,0.033028,0.033059
0.000020,0.000138,0.000000,0.000169,0.000000,0.015460,0.015495
0.000024,0.000126,0.000000,0.000154,0.000000,0.017723,0.018152
0.000019,0.000130,0.000000,0.000161,0.000000,0.034698,0.034732
0.000021,0.000131,0.000000,0.000164,0.000000,0.016692,0.016726
0.000021,0.000141,0.000000,0.000173,0.000000,0.027655,0.027746
0.000030,0.000203,0.000000,0.000248,0.000000,0.023037,0.023743
0.000049,0.000261,0.000000,0.000327,0.000000,0.038235,0.038299
0.000020,0.000141,0.000000,0.000170,0.000000,0.026819,0.026852
0.000021,0.000127,0.000000,0.000155,0.000000,0.019531,0.020323
0.000018,0.000132,0.000000,0.000161,0.000000,0.066891,0.066991
0.000036,0.000201,0.000000,0.000254,0.000000,0.026966,0.027766
0.000024,0.000136,0.000000,0.000164,0.000000,0.014251,0.014290
0.000019,0.000126,0.000000,0.000158,0.000000,0.018834,0.019250
0.000023,0.000143,0.000000,0.000180,0.000000,0.036220,0.036256
0.000032,0.000178,0.000000,0.000293,0.000000,0.070707,0.070747
0.000028,0.000151,0.000000,0.000188,0.000000,0.020543,0.020592
0.000020,0.000131,0.000000,0.000161,0.000000,0.043965,0.044005
0.000020,0.000132,0.000000,0.000160,0.000000,0.015762,0.016165
0.000018,0.000122,0.000000,0.000151,0.000000,0.043538,0.043572
0.000041,0.000224,0.000000,0.000295,0.000000,0.077322,0.077359
0.000019,0.000135,0.000000,0.000165,0.000000,0.024513,0.024546
0.000031,0.000172,0.000000,0.000209,0.000000,0.018349,0.018387
0.000018,0.000147,0.000000,0.000179,0.000000,0.016763,0.016799
0.000021,0.000131,0.000000,0.000162,0.000000,0.014995,0.015458
0.000035,0.000224,0.000000,0.000294,0.000000,0.023999,0.024044
0.000022,0.000130,0.000000,0.000162,0.000000,0.036127,0.036164
0.000019,0.000127,0.000000,0.000160,0.000000,0.068253,0.068296
0.000023,0.000134,0.000000,0.000162,0.000000,0.168521,0.168562
0.000027,0.000173,0.000000,0.000219,0.000000,0.022080,0.022942
0.000018,0.000130,0.000000,0.000162,0.000000,0.015973,0.016006
0.000027,0.000162,0.000000,0.000206,0.000000,0.059513,0.059551
0.000020,0.000131,0.000000,0.000164,0.000000,0.016013,0.016043
0.000018,0.000129,0.000000,0.000157,0.000000,0.062773,0.062875
0.000020,0.000131,0.000000,0.000159,0.000000,0.086841,0.086871
0.000043,0.000244,0.000000,0.000309,0.000000,0.022994,0.023033
0.000070,0.000411,0.000000,0.000537,0.000000,0.054305,0.055257
0.000024,0.000130,0.000000,0.000157,0.000000,0.015557,0.015660
0.000022,0.000119,0.000000,0.000151,0.000000,0.605255,0.605699
0.000018,0.000132,0.000000,0.000162,0.000000,0.046956,0.046989
0.000040,0.000219,0.000000,0.000280,0.000000,0.033542,0.033660
0.000054,0.000264,0.000000,0.000331,0.000000,0.019887,0.020466
0.000022,0.000131,0.000000,0.000163,0.000000,0.031941,0.031972
0.000060,0.000167,0.000000,0.000195,0.000000,0.021707,0.021743
0.000020,0.000136,0.000000,0.000166,0.000000,0.036518,0.036547
0.000020,0.000119,0.000000,0.000148,0.000000,0.016244,0.016275
0.000021,0.000128,0.000000,0.000157,0.000000,0.014952,0.015015
0.000021,0.000141,0.000000,0.000175,0.000000,0.018705,0.018738
0.000021,0.000118,0.000000,0.000150,0.000000,0.017563,0.017997
0.000029,0.000180,0.000000,0.000241,0.000000,0.020700,0.020865
0.000021,0.000136,0.000000,0.000164,0.000000,0.014394,0.014428
0.000020,0.000119,0.000000,0.000146,0.000000,0.046925,0.047361
0.000022,0.000124,0.000000,0.000157,0.000000,0.025943,0.025981
0.000022,0.000134,0.000000,0.000163,0.000000,0.031008,0.031035
0.000020,0.000116,0.000000,0.000148,0.000000,0.089875,0.089933
0.000020,0.000135,0.000000,0.000163,0.000000,0.064094,0.064127
0.000021,0.000137,0.000000,0.000187,0.000000,0.025535,0.025576
0.000020,0.000131,0.000000,0.000163,0.000000,0.015128,0.015314
0.000020,0.000126,0.000000,0.000158,0.000000,0.015690,0.015724
0.000021,0.000120,0.000000,0.000147,0.000000,0.015471,0.015506
0.000021,0.000120,0.000000,0.000152,0.000000,0.053287,0.053321
0.000062,0.000315,0.000000,0.000403,0.000000,0.097467,0.097541
0.000023,0.000133,0.000000,0.000162,0.000000,0.015722,0.015759
0.000021,0.000137,0.000000,0.000167,0.000000,0.043528,0.043567
0.000019,0.000108,0.000000,0.000137,0.000000,0.050803,0.051235
0.000021,0.000134,0.000000,0.000163,0.000000,0.020085,0.020119
0.000019,0.000134,0.000000,0.000162,0.000000,0.015630,0.015664
0.000020,0.000116,0.000000,0.000145,0.000000,0.028122,0.028157
0.000021,0.000159,0.000000,0.000191,0.000000,0.014903,0.014937
0.000021,0.000130,0.000000,0.000158,0.000000,0.047492,0.047527
0.000019,0.000134,0.000000,0.000164,0.000000,0.028315,0.028354
0.000021,0.000156,0.000000,0.000186,0.000000,0.018555,0.018588
0.000022,0.000125,0.000000,0.000152,0.000000,0.014136,0.014514
0.000020,0.000130,0.000000,0.000162,0.000000,0.044765,0.044798
0.000025,0.000144,0.000000,0.000182,0.000000,0.017090,0.017127
0.000027,0.000158,0.000000,0.000201,0.000000,0.025996,0.026029
0.000021,0.000120,0.000000,0.000152,0.000000,0.066317,0.066357
0.000021,0.000137,0.000000,0.000170,0.000000,0.015502,0.015534
0.000020,0.000108,0.000000,0.000135,0.000000,0.016230,0.016261
0.000027,0.000158,0.000000,0.000200,0.000000,0.020905,0.020942
0.000022,0.000133,0.000000,0.000163,0.000000,0.044276,0.044311
0.000023,0.000141,0.000000,0.000170,0.000000,0.038159,0.038189
0.000018,0.000123,0.000000,0.000153,0.000000,0.015350,0.015383
0.000020,0.000137,0.000000,0.000170,0.000000,0.017672,0.017704
0.000045,0.000305,0.000000,0.000391,0.000000,0.024613,0.024653
0.000019,0.000134,0.000000,0.000163,0.000000,0.015095,0.015130
0.000023,0.000138,0.000000,0.000166,0.000000,0.042435,0.042470
