time_namelookup (seconds),time_connect (seconds),time_appconnect (seconds),time_pretransfer (seconds),time_redirect (seconds),time_starttransfer (seconds),time_total (seconds)
0.000022,0.000152,0.000000,0.000183,0.000000,0.138227,0.138256
0.000020,0.000131,0.000000,0.000163,0.000000,0.300548,0.301715
0.000022,0.000116,0.000000,0.000147,0.000000,0.171027,0.171798
0.000019,0.000128,0.000000,0.000157,0.000000,0.284569,0.285258
0.000020,0.000133,0.000000,0.000166,0.000000,0.079450,0.079682
0.000018,0.000125,0.000000,0.000154,0.000000,0.133998,0.134088
0.000021,0.000133,0.000000,0.000165,0.000000,0.256771,0.262084
0.000020,0.000130,0.000000,0.000161,0.000000,0.181478,0.185119
0.000040,0.000203,0.000000,0.000262,0.000000,0.259979,0.260282
0.000041,0.000224,0.000000,0.000293,0.000000,0.326149,0.328474
0.000022,0.000125,0.000000,0.000154,0.000000,0.045386,0.045872
0.000021,0.000123,0.000000,0.000153,0.000000,0.143208,0.146843
0.000021,0.000142,0.000000,0.000177,0.000000,0.091473,0.091649
0.000019,0.000131,0.000000,0.000160,0.000000,0.174323,0.174472
0.000019,0.000120,0.000000,0.000152,0.000000,0.179300,0.179335
0.000020,0.000129,0.000000,0.000161,0.000000,0.077567,0.078102
0.000020,0.000131,0.000000,0.000162,0.000000,0.247341,0.247501
0.000022,0.000138,0.000000,0.000166,0.000000,0.046504,0.047007
0.000023,0.000140,0.000000,0.000171,0.000000,0.186127,0.186301
0.000019,0.000124,0.000000,0.000156,0.000000,0.197169,0.197489
0.000019,0.000134,0.000000,0.000163,0.000000,0.278639,0.279190
0.000018,0.000127,0.000000,0.000156,0.000000,0.079741,0.080015
0.000021,0.000131,0.000000,0.000163,0.000000,0.043229,0.043263
0.000020,0.000131,0.000000,0.000161,0.000000,0.107254,0.107442
0.000019,0.000202,0.000000,0.000234,0.000000,0.136363,0.137196
0.000021,0.000128,0.000000,0.000162,0.000000,0.279958,0.280037
0.000020,0.000127,0.000000,0.000156,0.000000,0.094995,0.095149
0.000021,0.000114,0.000000,0.000146,0.000000,0.105847,0.106224
0.000021,0.000135,0.000000,0.000170,0.000000,0.030004,0.030123
0.000056,0.000306,0.000000,0.000393,0.000000,0.246264,0.246488
0.000021,0.000131,0.000000,0.000161,0.000000,0.179846,0.180391
0.000021,0.000141,0.000000,0.000172,0.000000,0.194547,0.194957
0.000018,0.000131,0.000000,0.000161,0.000000,0.182530,0.183370
0.000020,0.000135,0.000000,0.000169,0.000000,0.192170,0.192380
0.000028,0.000171,0.000000,0.000220,0.000000,0.270548,0.271480
0.000019,0.000132,0.000000,0.000167,0.000000,0.199493,0.200158
0.000022,0.000125,0.000000,0.000153,0.000000,0.059959,0.060666
0.000020,0.000114,0.000000,0.000147,0.000000,0.303177,0.303952
0.000079,0.000440,0.000000,0.000591,0.000000,0.321462,0.321859
0.000021,0.000132,0.000000,0.000166,0.000000,0.033389,0.033422
0.000019,0.000135,0.000000,0.000165,0.000000,0.064652,0.065293
0.000019,0.000132,0.000000,0.000161,0.000000,0.042568,0.042702
0.000018,0.000128,0.000000,0.000156,0.000000,0.281023,0.285967
0.000020,0.000128,0.000000,0.000160,0.000000,0.072552,0.072721
0.000024,0.000130,0.000000,0.000168,0.000000,0.036131,0.036966
0.000027,0.000179,0.000000,0.000217,0.000000,0.039119,0.039268
0.000018,0.000134,0.000000,0.000164,0.000000,0.052148,0.052269
0.000020,0.000129,0.000000,0.000161,0.000000,0.086016,0.086198
0.000021,0.000113,0.000000,0.000142,0.000000,0.203767,0.203965
0.000021,0.000154,0.000000,0.000191,0.000000,0.027756,0.027916
0.000022,0.000123,0.000000,0.000157,0.000000,0.083527,0.084673
0.000018,0.000129,0.000000,0.000158,0.000000,0.110827,0.111537
0.000020,0.000134,0.000000,0.000166,0.000000,0.272354,0.273183
0.000021,0.000131,0.000000,0.000161,0.000000,0.352518,0.352887
0.000018,0.000114,0.000000,0.000142,0.000000,0.123894,0.126676
0.000021,0.000134,0.000000,0.000169,0.000000,0.153817,0.154669
0.000019,0.000128,0.000000,0.000157,0.000000,0.267921,0.268038
0.000033,0.000197,0.000000,0.000254,0.000000,0.278288,0.279288
0.000023,0.000134,0.000000,0.000164,0.000000,0.280511,0.281194
0.000031,0.000189,0.000000,0.000288,0.000000,0.086332,0.087200
0.000018,0.000128,0.000000,0.000159,0.000000,0.106790,0.107377
0.000019,0.000127,0.000000,0.000160,0.000000,0.265574,0.266205
0.000020,0.000132,0.000000,0.000162,0.000000,0.051824,0.052060
0.000022,0.000124,0.000000,0.000152,0.000000,0.161512,0.161545
0.000023,0.000253,0.000000,0.000511,0.000000,0.104911,0.104946
0.000018,0.000112,0.000000,0.000141,0.000000,0.054132,0.054644
0.000020,0.000121,0.000000,0.000153,0.000000,0.080995,0.081525
0.000022,0.000123,0.000000,0.000155,0.000000,0.290341,0.290372
0.000018,0.000130,0.000000,0.000160,0.000000,0.042602,0.043130
0.000022,0.000142,0.000000,0.000177,0.000000,0.166781,0.166815
0.000021,0.000119,0.000000,0.000147,0.000000,0.170010,0.170268
0.000020,0.000117,0.000000,0.000146,0.000000,0.252224,0.252260
0.000026,0.000263,0.000000,0.000544,0.000000,0.076441,0.076624
