time_namelookup (seconds),time_connect (seconds),time_appconnect (seconds),time_pretransfer (seconds),time_redirect (seconds),time_starttransfer (seconds),time_total (seconds)
0.000021,0.000129,0.000000,0.000159,0.000000,0.051304,0.051334
0.000020,0.000137,0.000000,0.000168,0.000000,0.018400,0.018513
0.000020,0.000134,0.000000,0.000166,0.000000,0.043337,0.043370
0.000020,0.000117,0.000000,0.000145,0.000000,0.017382,0.017565
0.000020,0.000134,0.000000,0.000183,0.000000,0.042667,0.042702
0.000019,0.000135,0.000000,0.000165,0.000000,0.016740,0.016853
0.000021,0.000129,0.000000,0.000161,0.000000,0.046285,0.046748
0.000025,0.000149,0.000000,0.000185,0.000000,0.017011,0.017136
0.000019,0.000135,0.000000,0.000166,0.000000,0.081945,0.082026
0.000023,0.000126,0.000000,0.000158,0.000000,0.079177,0.079227
0.000028,0.000167,0.000000,0.000208,0.000000,0.186625,0.186864
0.000039,0.000194,0.000000,0.000246,0.000000,0.029751,0.029960
0.000021,0.000125,0.000000,0.000158,0.000000,0.081515,0.081557
0.000027,0.000165,0.000000,0.000210,0.000000,0.103418,0.103838
0.000019,0.000132,0.000000,0.000162,0.000000,0.041550,0.041586
0.000021,0.000133,0.000000,0.000162,0.000000,0.016847,0.017276
0.000019,0.000253,0.000000,0.000506,0.000000,0.033194,0.033229
0.000020,0.000120,0.000000,0.000149,0.000000,0.015990,0.016449
0.000039,0.000237,0.000000,0.000309,0.000000,0.024471,0.024639
0.000033,0.000143,0.000000,0.000175,0.000000,0.016488,0.016927
0.000020,0.000128,0.000000,0.000159,0.000000,0.017463,0.017497
0.000018,0.000129,0.000000,0.000158,0.000000,0.018605,0.019495
0.000020,0.000131,0.000000,0.000159,0.000000,0.016540,0.016572
0.000019,0.000131,0.000000,0.000160,0.000000,0.035930,0.035968
0.000021,0.000129,0.000000,0.000164,0.000000,0.016329,0.016705
0.000019,0.000129,0.000000,0.000159,0.000000,0.043179,0.043355
0.000021,0.000122,0.000000,0.000154,0.000000,0.017707,0.017740
0.000035,0.000211,0.000000,0.000272,0.000000,0.232696,0.234064
0.000038,0.000200,0.000000,0.000261,0.000000,0.056009,0.056195
